# sendbird	stream	automation	tier	section	note
`useGroupChannelList`	`useChannelsContext()` (inside `<ChannelList>`)	agent-guided	curated	12. Context hooks & selectors	`loadNextPage`/`hasNextPage`; the list does live updates for you.
`useUIKitTheme()`	`useTheme()`	agent-guided	curated	12. Context hooks & selectors	Returns `{ theme }` in Stream's `Theme` shape - color/typography keys differ.
`useMessageContext`	`useMessageContext` (different shape)	agent-guided	curated	12. Context hooks & selectors	`MessageContextValue`: `message`, `isMyMessage()`, handlers, ...
`usePushTokenRegistration`	- (gap)	manual	curated	12. Context hooks & selectors	No hook - call `addDevice`/`removeDevice` in your own effects.
`createTheme` / `colorSet` / `Palette` (JS, from `-foundation`)	`DeepPartial<Theme>` object on **both** `<OverlayProvider value={{ style }}>` **and** `<Chat style={…}>`	agent-guided	curated	13. Theming & i18n	**No CSS/DOM on native.** The theme object carries **color AND spacing/dimension**, so most reskins are theme-only. Confirm exact keys against the installed package + Theming page ([`DOCS.md`](DOCS.md)); read at runtime via `useTheme()`.
`LightUIKitTheme` / `DarkUIKitTheme`	`defaultTheme` deep-merged + `useColorScheme()` selection	agent-guided	curated	13. Theming & i18n	No `theme="light"|"dark"` prop - build two theme objects and select on the RN `useColorScheme()`; pin brand colors, keep chrome adaptive.
`createBaseStringSet` / `StringSet`	`Streami18n` (i18next; `registerTranslation`/`setLanguage`) -> `<Chat i18nInstance={…}>`	agent-guided	curated	13. Theming & i18n	Stream's keys are the English source strings themselves - re-key, no 1:1 key map.
`dateLocale` / date format strings	Day.js + `timestamp/` i18n keys	agent-guided	curated	13. Theming & i18n	Different date library and key scheme.
`localCacheEnabled` / `initializeCache` (AsyncStorage)	`enableOfflineSupport` on `<Chat>` + `@op-engineering/op-sqlite`	agent-guided	curated	14. Offline & sync	Native SQLite, not a declarative flag; Expo needs a dev client (not Expo Go). Call `connectUser` before rendering but **don't await** it so components render from the DB while the socket connects.
`LocalCacheConfig` (`maxSize`, `clearOrder`, `enableAutoResend`, encryption)	- (gap)	manual	curated	14. Offline & sync	The OfflineDB is self-managed - no size/eviction/encryption knobs. Drop the tuning; auto-resend comes free with offline support (a persisted pending-task queue: sends, deletes, reactions, drafts).
`clearCachedData()` / `clearCachedMessages(url)`	`await client.offlineDb.resetDB()` (DB-wide) before `disconnectUser()`	agent-guided	curated	14. Offline & sync	The app's responsibility on sign-out - prevents cross-user leaks. No per-channel clear. Kill-list #11.
`MessageCollection.dispose()` / `GroupChannelCollection.dispose()`	-	manual	curated	14. Offline & sync	No collection to dispose - unmounting `<Channel>`/`<ChannelList>` tears down; `stopWatching()` only to stop server events. Don't over-migrate looking for `dispose`.
`AuthTokenType`	`TokenOrProvider`	shape-shift	inferred	1. Connection, auth, session & users/presence	No session-vs-access token enum; Stream takes one JWT as `TokenOrProvider` (string | `() => Promise<string>`) passed to `connectUser` / `useCreateChatClient`.
`Unsubscribe.onTokenRefresh`	`- (gap)`	none	inferred	1. Connection, auth, session & users/presence	No token-refresh event/subscription. Supply a `TokenProvider` at connect; Stream re-invokes it automatically on expiry, no imperative push (curated §1).
`createUserListModule`, `UserList*` (`UserListContexts`/`Provider`/`Type`/`Header`/`List`/`Module`/`Props`/`StatusEmpty`/`StatusError`), `UserActionBar`, `UserSelectableBar` (12 symbols)	`- (gap)`	none	inferred	1. Connection, auth, session & users/presence	No prebuilt user-list / picker module in Stream RN. Build one from `client.queryUsers` (or `channel.queryMembers`) + `Avatar` + a FlatList; gate with `useChannelOwnCapabilities`.
`OnlineDetectorListener`	`useIsOnline`	shape-shift	inferred	1. Connection, auth, session & users/presence	No manual online-detector listener; SDK auto-detects connectivity. Read `useIsOnline` (own socket) / `connectionRecovering`, or `client.on('connection.changed')`.
`ReactedUserInfo`	`ReactionResponse`	shape-shift	inferred	1. Connection, auth, session & users/presence	Reactor identity rides on `ReactionResponse.user` / `.user_id`; no separate reacted-user class. Enumerate reactors via `message.latest_reactions`.
`RestrictedUser`	`UserResponse`	shape-shift	inferred	1. Connection, auth, session & users/presence	No restricted-user subclass — a plain `UserResponse`. Query the restricted/banned set via `client.queryBannedUsers(...)` and read `response.bans[]`.
`User`	`UserResponse` / `OwnUserResponse`	shape-shift	inferred	1. Connection, auth, session & users/presence	`userId`->`id`, `nickname`->`name`, `profileUrl`->`image`, metaData->top-level custom fields, `lastSeenAt`(ms)->`last_active`(ISO). `OwnUserResponse` for self.
`UserOnlineState`	`UserResponse`	shape-shift	inferred	1. Connection, auth, session & users/presence	Enum collapses to boolean `UserResponse.online` (+ `last_active`). Presence only tracked for users queried/watched with `{ presence: true }`, else stale.
`UserUpdateParams`	`PartialUserUpdate`	shape-shift	inferred	1. Connection, auth, session & users/presence	`{ id, set?, unset? }`; `nickname`->`set.name`, `profileUrl`->`set.image`. `unset` removes a field entirely (no Sendbird analog). Values must be JSON.
`User.addFriends`	`- (gap)`	none	inferred	1. Connection, auth, session & users/presence	No friends / social graph in stream-chat. Model relations in your own backend; approximate with `client.queryUsers` or channel membership (curated §15).
`User.connect`, `User.authenticate` (2 symbols)	`client.connectUser`	shape-shift	inferred	1. Connection, auth, session & users/presence	`connectUser({ id, name, image }, tokenOrProvider)` — user object + token, not a bare id. No feed-only auth; use the full connect. Prefer `useCreateChatClient` in RN.
`User.updateCurrentUserInfo`	`client.partialUpdateUser`	shape-shift	inferred	1. Connection, auth, session & users/presence	`partialUpdateUser({ id: client.userID, set: { name, image } })`; field-level set/unset, no dedicated current-user method (curated §1). Full replace via `upsertUser`.
`User.updateCurrentUserInfoWithPreferredLanguages`	`client.partialUpdateUser`	shape-shift	inferred	1. Connection, auth, session & users/presence	No first-class `preferredLanguages`; store the array as a custom field via `set`, or drive per-message translation with `client.translateMessage`.
`BaseChannel`	`Channel`	shape-shift	inferred	2. Channels: model, config & queries	3 Sendbird channel classes collapse to one Stream Channel; replace isGroupChannel()/isOpenChannel() branching with reads of channel.type; url->cid.
`ChannelType` / `GroupChannelType` (2 symbols)	`Channel.type`	shape-shift	inferred	2. Channels: model, config & queries	Kind enum -> server-configured type string: group->'messaging'/'team', open->'livestream'; SUPER_GROUP/BROADCAST are type-level config, not values.
`CachedChannelInfo`	- (gap)	none	inferred	2. Channels: model, config & queries	No channel serialize/cache-info object; rebuild a handle from (type,id) via StreamChat.channel(type,id).watch().
`FriendDiscovery`	- (gap)	none	inferred	2. Channels: model, config & queries	No social-graph/friends concept in stream-chat; model relations in your backend or approximate with StreamChat.queryUsers/membership.
`GroupChannelCreateParams` / `OpenChannelCreateParams` (2 symbols)	`ChannelData` / `CreateChannelOptions`	shape-shift	inferred	2. Channels: model, config & queries	invitedUserIds/operatorUserIds -> one members array (+assignRoles); coverUrl->image; isDistinct->omit id; isSuper/isBroadcast/isPublic->server-side type config.
`GroupChannelUpdateParams` / `OpenChannelUpdateParams` (2 symbols)	`Channel.updatePartial`	shape-shift	inferred	2. Channels: model, config & queries	Pass fields to updatePartial({set}); coverUrl->image. Avoid full update (wipes unlisted custom fields).
`GroupChannelHideParams`	`Channel.hide`	shape-shift	inferred	2. Channels: model, config & queries	hidePreviousMessages/allowAutoUnhide -> hide(userId?, clearHistory?); read `hidden` off the query response; unhide via show().
`GroupChannelFilterParams` / `GroupChannelUserIdsFilter` / `HiddenChannelFilter` / `PublicChannelFilter` / `SuperChannelFilter` / `UnreadChannelFilter` (6 symbols)	`ChannelFilters`	n-to-1	inferred	2. Channels: model, config & queries	Filter classes+enums collapse to one filter literal, e.g. {type,members:{$in:[uid]},hidden,frozen}; memoize so <ChannelList> re-queries.
`InactiveChannelListOrder` / `PublicGroupChannelListOrder` (2 symbols)	`ChannelSort`	shape-shift	inferred	2. Channels: model, config & queries	Order enums -> sort object: LATEST_LAST_MESSAGE->{last_message_at:-1}, CHRONOLOGICAL->{created_at:1}, etc.
`GroupChannelSearchField` / `GroupChannelSearchFilter` (2 symbols)	`ChannelFilters`	shape-shift	inferred	2. Channels: model, config & queries	No channel-search class; fold into filters: name->{name:{$autocomplete:q}}, member->{members:{$in:[ids]}}.
`GroupChannelCountParams`	- (gap)	none	inferred	2. Channels: model, config & queries	No channel-count endpoint; approximate with StreamChat.queryChannels result length (returns no server-side total).
`GroupChannel.createChannel` / `GroupChannel.createChannelWithUserIds` / `OpenChannel.createChannel` (3 symbols)	`StreamChat.channel` + `Channel.create`	shape-shift	inferred	2. Channels: model, config & queries	client.channel(type,id?,{members}).create(); Open->'livestream'; ids->members array; a client-chosen id makes create() idempotent; omit id for distinct/DM.
`GroupChannel.createDistinctChannelIfNotExist`	`StreamChat.channel` + `Channel.watch`	behavioral-diff	inferred	2. Channels: model, config & queries	Distinct = client.channel('messaging',{members}) with NO id, then watch(); Stream hashes members to a stable id; members can't later change.
`GroupChannel.getChannel` / `OpenChannel.getChannel` (2 symbols)	`StreamChat.channel` + `Channel.watch`	shape-shift	inferred	2. Channels: model, config & queries	Synchronous handle: client.channel(type,id) then watch() hydrates. Carry the type with the id (cid=type:id); can't resolve from id alone.
`GroupChannel.getChannelWithoutCache` / `OpenChannel.getChannelWithoutCache` (2 symbols)	`Channel.query`	behavioral-diff	inferred	2. Channels: model, config & queries	No cache-bypass variant; channel.query() (or re-watch()) refetches state from the server.
`InvitationPreference.getChannelInvitationPreference` / `setChannelInvitationPreference` (2 symbols)	- (gap)	none	inferred	2. Channels: model, config & queries	No auto-accept-invite preference; require invitee acceptInvite()/rejectInvite(), or skip the pending state by using addMembers instead of inviteMembers.
`createGroupChannelModule` / `GroupChannelFragment` / `GroupChannelProps` / `GroupChannelContexts(+Provider+Type)` (6 symbols)	`Channel` + `MessageList` + `MessageComposer`	shape-shift	inferred	2. Channels: model, config & queries	Fragment factory -> compositional <Channel><MessageList/><MessageComposer/></Channel>; renderX overrides -> component-swap props on <Channel>; no <Window> in RN.
`createGroupChannelListModule` / `GroupChannelListFragment` / `GroupChannelListProps` / `GroupChannelListList` / `GroupChannelListModule` / `GroupChannelListContexts(+Provider+Type)` (8 symbols)	`ChannelList`	shape-shift	inferred	2. Channels: model, config & queries	List module/fragment -> <ChannelList filters sort onSelect Preview/>; row override -> Preview prop; pass channel.cid through navigation, not the Channel object.
`GroupChannelListTypeSelector`	- (gap)	none	inferred	2. Channels: model, config & queries	No type-selector step; the type string is chosen in code at client.channel(type,...); build your own selector if the UX needs one.
`GroupChannelCreateFragment` / `GroupChannelCreateProps` (2 symbols)	- (gap)	none	inferred	2. Channels: model, config & queries	No prebuilt create screen; build a user picker then client.channel('messaging',{members}).create()/watch().
`createGroupChannelSettingsModule` / `GroupChannelSettingsFragment` / `GroupChannelSettingsProps` / `GroupChannelSettingsModule` / `GroupChannelSettingsInfo` / `GroupChannelSettingsMenu` / `GroupChannelSettingsContexts(+Provider+Type)` (9 symbols)	`ChannelDetails`	shape-shift	inferred	2. Channels: model, config & queries	No 1:1 settings fragment; compose ChannelDetails* + channel.updatePartial/mute()/push prefs; menu items -> your own actions gated by useChannelOwnCapabilities.
`createOpenChannelModule` / `createOpenChannelFragment` / `OpenChannelFragment` / `OpenChannelProps` / `OpenChannelContexts(+Provider+Type)` (7 symbols)	`Channel` + `MessageList` + `MessageComposer`	shape-shift	inferred	2. Channels: model, config & queries	<Channel> over client.channel('livestream',id); enter/exit->watch/stopWatching; read_events off (use isLocalUnreadCountEnabled + markReadLocally/countUnread).
`createOpenChannelListFragment` / `createOpenChannelListModule` / `OpenChannelListFragment` / `OpenChannelListProps` / `OpenChannelListList` / `OpenChannelListModule` / `OpenChannelListContexts(+Provider+Type)` (9 symbols)	`ChannelList`	shape-shift	inferred	2. Channels: model, config & queries	<ChannelList filters={{type:'livestream'}}>; discover via StreamChat.queryChannels filter, not a per-class open-channel list query.
`createOpenChannelCreateFragment` / `createOpenChannelCreateModule` / `OpenChannelCreateFragment` / `OpenChannelCreateProps` / `OpenChannelCreateModule` / `OpenChannelCreateContexts(+Provider+Type)` (8 symbols)	- (gap)	none	inferred	2. Channels: model, config & queries	No prebuilt create screen; build a form then client.channel('livestream',id).create(); the client picks the id (Sendbird assigned URLs server-side).
`createOpenChannelModerationFragment` / `createOpenChannelModerationModule` / `OpenChannelModerationFragment` / `OpenChannelModerationProps` / `OpenChannelModerationModule` / `OpenChannelModerationMenu` / `OpenChannelModerationContexts(+Provider+Type)` (9 symbols)	- (gap)	none	inferred	2. Channels: model, config & queries	No prebuilt moderation/operator/muted/banned screens; compose Channel.banUser/addModerators/shadowBan + useChannelOwnCapabilities gating.
`createOpenChannelParticipantsFragment` / `OpenChannelParticipantsFragment` / `OpenChannelParticipantsProps` (3 symbols)	`ChannelMemberList` + `ChannelState.watchers`	shape-shift	inferred	2. Channels: model, config & queries	Livestream 'participants' are watchers, not persisted members: read channel.state.watcher_count/watchers; ChannelMemberList only for true members.
`createOpenChannelSettingsFragment` / `createOpenChannelSettingsModule` / `OpenChannelSettingsFragment` / `OpenChannelSettingsProps` / `OpenChannelSettingsModule` / `OpenChannelSettingsInfo` / `OpenChannelSettingsMenu` / `OpenChannelSettingsContexts(+Provider+Type)` (10 symbols)	`ChannelDetails`	shape-shift	inferred	2. Channels: model, config & queries	No 1:1 settings fragment; compose ChannelDetails* + channel.updatePartial; delete-channel menu -> channel.delete() (soft by default).
`GroupChannelHeader` / `GroupChannelListHeader` / `GroupChannelSettingsHeader` / `OpenChannelHeader` / `OpenChannelListHeader` / `OpenChannelCreateHeader` / `OpenChannelModerationHeader` / `OpenChannelSettingsHeader` (8 symbols)	- (gap)	none	inferred	2. Channels: model, config & queries	No <ChannelHeader> slot inside RN <Channel> and no list-header module; the header is app-owned (React Navigation / Expo Router).
`ChannelInput` / `ChannelInputProps` / `GroupChannelInput` / `OpenChannelInput` (4 symbols)	`MessageComposer`	shape-shift	inferred	2. Channels: model, config & queries	Input component -> <MessageComposer/>; keystroke/typing + attachment pipeline handled internally; inputDisabled -> disabled/frozen channel state.
`ChannelCover` / `GroupChannelPreview` / `OpenChannelPreview` (3 symbols)	`ChannelPreview` + `ChannelAvatar`	shape-shift	inferred	2. Channels: model, config & queries	Preview -> <ChannelList Preview={...}>; cover -> ChannelAvatar; frozen/badge/memberCount read from channel state, not props you pass.
`GroupChannelStatusEmpty` / `GroupChannelListStatusEmpty` / `OpenChannelStatusEmpty` / `OpenChannelListStatusEmpty` / `OpenChannelListStatusError` (5 symbols)	`EmptyStateIndicator` / `LoadingErrorIndicator`	shape-shift	inferred	2. Channels: model, config & queries	Status slots -> EmptyStateIndicator/LoadingErrorIndicator override props on <ChannelList>/<MessageList>.
`GroupChannelListQuery*` (5 symbols)	`client.queryChannels` / `ChannelList`	n-to-1	inferred	3. Pagination, queries & collections	Stateless client.queryChannels({members:{$in:[me]}},sort,{offset,limit}); .next()/.loadMore->offset=channels.length. UI:<ChannelList>; hasNext=short-page heuristic.
`GroupChannelCollection*` (11 symbols)	`ChannelManager` / `ChannelList`	n-to-1	inferred	3. Pagination, queries & collections	Live list->ChannelManager behind <ChannelList>; delete collection+handlers, read useChannelsContext().channels/loadNextPage. Filter->ChannelFilters.
`*.build*FromSerializedData` (8 symbols)	`- (gap)`	none	inferred	3. Pagination, queries & collections	No serializable query/entity in Stream. Rebuild channels from (type,id)+watch(); re-run queryChannels/queryUsers. Drop serialize/rehydrate.
`PublicGroupChannelListQuery*` (3 symbols)	`client.queryChannels`	n-to-1	inferred	3. Pagination, queries & collections	client.queryChannels with a discoverable channel-type filter; offset/limit paging. No public/private query object.
`InactiveChannelListQuery*` (3 symbols)	`client.queryChannels`	n-to-1	inferred	3. Pagination, queries & collections	client.queryChannels with a filter (e.g. last_message_at range / {hidden:true}); no dedicated inactive-channel query.
`OpenChannelListQuery*` (4 symbols)	`client.queryChannels`	n-to-1	inferred	3. Pagination, queries & collections	OpenChannel->livestream channel; client.queryChannels({type:'livestream'},sort,{offset,limit}). .next()->offset paging.
`PreviousMessageListQuery*` (5 symbols)	`Channel.query`	n-to-1	inferred	3. Pagination, queries & collections	channel.query({messages:{limit,id_lt:oldestId}}); .load()/.next()->loadMore (PaginatedMessageListContext). id cursor; hasNext=short-page heuristic.
`MessageCollection*` (7 symbols)	`Channel.watch` / `MessageList`	n-to-1	inferred	3. Pagination, queries & collections	No collection; channel.watch() seeds channel.state.messages, <MessageList> pages via loadMore/loadMoreRecent. Init-policy + onCache/onApi dropped.
`ThreadedParentMessageListQuery*` (3 symbols)	`client.queryThreads` / `Channel.getReplies`	n-to-1	inferred	3. Pagination, queries & collections	Parent-thread inbox->client.queryThreads (Thread objs); replies->channel.getReplies(parentId,{limit,id_lt}). Stateless id cursor.
`PinnedMessageListQuery*` (4 symbols)	`Channel.getPinnedMessages`	n-to-1	inferred	3. Pagination, queries & collections	channel.getPinnedMessages() or read channel.state.pinnedMessages; no stateful pinned cursor. .next()->re-query with paging opts.
`MemberListQuery*` (4 symbols)	`Channel.queryMembers`	n-to-1	inferred	3. Pagination, queries & collections	channel.queryMembers(filter,sort,{offset,limit}); MemberStateFilter INVITED/JOINED->filter on invited. .next()->offset paging.
`ParticipantListQuery*` (3 symbols)	`Channel.query` / `ChannelState.watchers`	n-to-1	inferred	3. Pagination, queries & collections	Open-channel participants->watchers: channel.query({watchers:{limit,offset}}), read channel.state.watchers/watcher_count. No participant query.
`ApplicationUserListQuery*` (4 symbols)	`client.queryUsers`	n-to-1	inferred	3. Pagination, queries & collections	client.queryUsers(filters,sort,{offset,limit}); userIdsFilter->{id:{$in}}, nicknameStartsWith->{name:{$autocomplete}}. .next()->offset.
`RestrictedUser.next` (1 symbol)	`client.queryBannedUsers`	shape-shift	inferred	3. Pagination, queries & collections	Muted/banned users->client.queryBannedUsers({channel_cid?},sort,{offset,limit}); read response.bans[]. RestrictedUser fields differ.
`FriendListQuery*` (3 symbols)	`- (gap)`	none	inferred	3. Pagination, queries & collections	No social graph in Stream. Model friends in your own backend; approximate with queryUsers/membership. Route via gaps ledger.
`MessageSearchQuery*` (2 symbols)	`client.search`	n-to-1	inferred	3. Pagination, queries & collections	client.search(channelFilters,query,{limit,next}); next cursor, not hasNext. Full-text search must be enabled on the app.
`FileUpload*/Upload*` (8 symbols)	`AttachmentManager` / `Channel.sendFile`	n-to-1	inferred	3. Pagination, queries & collections	Two-step: AttachmentManager owns upload->attach->send + per-file AttachmentLoadingState. UploadedFileInfo->Attachment (url->asset_url, fileName->title).
`DownloadedPath*` (2 symbols)	`- (gap)`	none	inferred	3. Pagination, queries & collections	UIKit download-to-disk helper; no Stream primitive. Use expo-file-system / RN-fs with attachment.asset_url; <ImageGallery> handles image viewing.
`*StatusLoading / LoadingSpinner` (8 symbols)	`LoadingIndicator`	n-to-1	inferred	3. Pagination, queries & collections	UIKit loading placeholders->Stream <LoadingIndicator>; list/message components auto-render ChannelListLoadingIndicator/InlineLoadingMoreIndicator.
`*PubSubContextPayload` (3 symbols)	`- (gap)`	none	inferred	3. Pagination, queries & collections	UIKit-internal message-sent/received pubsub bridge; Stream UI owns state via contexts (useMessagesContext). No payload-type equivalent.
`CollectionEventSource / QueryType` (2 symbols)	`- (gap)`	none	inferred	3. Pagination, queries & collections	Internal Sendbird enums (collection event source, query type); Stream events keyed by e.type strings, no query-type enum. Drop them.
`AppInfo`	`AppSettings`	shape-shift	inferred	4. Messages, threads, reactions & mentions	App config -> client AppSettings (client.getAppSettings). uploadSizeLimit/file-count limits move to AttachmentManager config; reactions enabled dashboard-side.
`BaseMessageCreateParams`	`Message`	shape-shift	inferred	4. Messages, threads, reactions & mentions	Send payload = Message object: message->text, mentionedUserIds->mentioned_users, parentMessageId->parent_id, customType/data->top-level custom fields.
`BaseMessageUpdateParams` + `UserMessageUpdateParams` (2 symbols)	`MessageUpdatableFields`	shape-shift	inferred	4. Messages, threads, reactions & mentions	Edit payload; apply via client.partialUpdateMessage(id,{set,unset}) (or updateMessage full replace). One path for user+file; re-specify mentions.
`BaseMessage.getMessage/getMessagesByMessageId/getMessagesByTimestamp` (3 symbols)	`Channel.getMessagesById` / `Channel.query`	shape-shift	inferred	4. Messages, threads, reactions & mentions	By-id -> Channel.getMessagesById; by-timestamp -> channel.query({messages:{created_at_around}}), convert epoch-ms->ISO. Stateless.
`MessageListParams/MessageRetrievalParams/ThreadedMessageListParams/MessageFilterParams` (4 symbols)	`MessagePaginationOptions` / `MessageFilters` / `Channel.getReplies`	shape-shift	inferred	4. Messages, threads, reactions & mentions	Stateless options: prev/next size->limit + id_lt/id_gt (not offset); MessageFilterParams->MessageFilters; threaded->channel.getReplies(parentId,opts).
`UserMessage.copyUserMessage`	`- (gap)`	none	inferred	4. Messages, threads, reactions & mentions	No server copy. Read source then target.sendMessage({...content}); return shape differs. Section 15.
`UserMessage.resendUserMessage`	`MessagesContext` / `MessageList`	behavioral-diff	inferred	4. Messages, threads, reactions & mentions	retrySendMessage(message) from useMessagesContext; default MessageList taps failed bubble to retry. Same message id (no new handler); no user/file branch.
`UserMessage.translateUserMessage`	`StreamChat.translateMessage`	shape-shift	inferred	4. Messages, threads, reactions & mentions	client.translateMessage(msg.id, lang) per language; read from message.i18n. Automatic translation need to be enabled on app; client.translateMessage works by default
`UserMessage.updateUserMessage`	`StreamChat.updateMessage` / `StreamChat.partialUpdateMessage`	shape-shift	inferred	4. Messages, threads, reactions & mentions	Edit is client-level by id. Prefer partialUpdateMessage(id,{set,unset}); full updateMessage can clobber attachments. One path for text+file.
`MessageType`	`MessageLabel`	shape-shift	inferred	4. Messages, threads, reactions & mentions	Enum 'user'
`MessageModule`	`- (gap)`	none	inferred	4. Messages, threads, reactions & mentions	No module system; one StreamChat client exposes send/edit/query directly. Drop the modules array.
`MessageForm/MessageFormItem/MessageFormItemLayout/MessageFormItemResultCount/MessageFormItemStyle` (5 symbols)	`- (gap)`	none	inferred	4. Messages, threads, reactions & mentions	CSAT / message forms / submitForm have no stream-chat primitive. Model via custom message/attachment fields or external tool. Section 15.
`MessageReviewInfo` + `MessageReviewStatus` (2 symbols)	`- (gap)`	none	inferred	4. Messages, threads, reactions & mentions	No client pre-send message-review state. Server-side Moderation review queue (queryReviewQueue) + flagMessage; reactive, nothing to call client-side.
`MessageTemplate/MessageTemplateListParams/MessageTemplateListResult/getMessageTemplate/getMessageTemplatesByToken` (5 symbols)	`- (gap)`	none	inferred	4. Messages, threads, reactions & mentions	No message-template concept in stream-chat. Model structured content as a custom attachment.type rendered via UnsupportedAttachment. Section 15.
`MessageSearchContextsType/Fragment/Module/Props/ResultItem` (5 symbols)	`MessageSearchSource` / `Channel.search`	n-to-1	inferred	4. Messages, threads, reactions & mentions	No prebuilt RN search screen/fragment. Build your own results list on MessageSearchSource or client.search(channelFilters,query,{limit,next}). Section 9.
`OriginalMessageInfo`	`- (gap)`	none	inferred	4. Messages, threads, reactions & mentions	No direct equivalent for Sendbird original-message info. Edit history (if enabled) surfaces via MessageHistoryEntry; otherwise no client shape.
`PinnedMessage`	`Channel.getPinnedMessages` / `MessagePinnedHeader`	shape-shift	inferred	4. Messages, threads, reactions & mentions	No PinnedMessage class. Pin via channel.pin/unpin; read channel.state.pinnedMessages; list via ChannelPinnedMessageListProvider; header MessagePinnedHeader.
`Reaction`	`ReactionResponse`	shape-shift	inferred	4. Messages, threads, reactions & mentions	Reactions live on the message: latest_reactions/own_reactions/reaction_counts. Sendbird reaction 'key' -> Stream 'type'. Aggregated server-side.
`ReactionAddons` + `ReactionBottomSheets` + `useReaction` (3 symbols)	`MessageReactionPicker` / `MessageUserReactions`	n-to-1	inferred	4. Messages, threads, reactions & mentions	Built-in picker + reactions/user bottom-sheet overlays. Declare the emoji palette via the Channel supportedReactions prop; no useReaction hook.
`ThreadInfo`	`Thread`	shape-shift	inferred	4. Messages, threads, reactions & mentions	Parent carries reply_count; rich client Thread state (Thread.state, Thread.ownUnreadCount) replaces threadInfo. Consumed via ThreadContext/useThreadContext.
`LastMessageThreadingPolicy` + `UnreadCountThreadingPolicy` (2 symbols)	`- (gap)`	none	inferred	4. Messages, threads, reactions & mentions	Threading policies are server/dashboard threading config; no client symbol. show_in_channel controls per-reply list visibility instead.
`createGroupChannelThreadModule` + `GroupChannelThread*` (12 symbols)	`Thread` / `ThreadContext` / `useThreadContext`	n-to-1	inferred	4. Messages, threads, reactions & mentions	No thread fragment factory. Use <Channel channel thread={t}><Thread/>; input=MessageComposer; header app-owned (React Navigation); status/empty built-in.
`GroupChannelMessage` + `GroupChannelMessageList` + `GroupChannelMessageProps` + `ChannelMessageList` (4 symbols)	`MessageList`	n-to-1	inferred	4. Messages, threads, reactions & mentions	renderMessage-style overrides -> Message component-swap prop on <Channel>. Bubble props -> MessageProps/MessageContextValue; ChannelMessageList -> MessageList.
`OpenChannelMessage` + `OpenChannelMessageProps` + `OpenChannelMessageRenderer` (3 symbols)	`MessageList`	n-to-1	inferred	4. Messages, threads, reactions & mentions	OpenChannel -> 'livestream' channel type; same MessageList + Message override. OpenChannelMessageRenderer -> Message swap; presence via watcher_count.
`MentionedUser` + `useMentionTextInput` + `UseMentionTextInputParams` + `UseMentionTextInputReturn` (4 symbols)	`TextComposer` / `MentionsSearchSource`	n-to-1	inferred	4. Messages, threads, reactions & mentions	Composer captures @-mentions via mentions middleware -> mentioned_users. Drop the manual useMentionTextInput hook + range/user bookkeeping.
`GroupChannelSuggestedMentionList`	`AutoCompleteSuggestionList` / `MentionSuggestion`	shape-shift	inferred	4. Messages, threads, reactions & mentions	Built-in autocomplete list inside the composer; MentionsSearchSource feeds MentionSuggestion/MentionItem. No standalone suggested-list to wire.
`NewMessagesButton`	`MessageList`	shape-shift	inferred	4. Messages, threads, reactions & mentions	Scroll-to-new-messages / unread indicator is rendered by MessageList automatically; no standalone button component to port.
`TypingIndicatorBubble`	`TypingIndicator`	shape-shift	inferred	4. Messages, threads, reactions & mentions	Auto-rendered inside MessageList (or read useTypingContext().typing). Remove the manual bubble component.
`Member.getTypingUsers`	`useTypingContext` / `ChannelState.typing`	shape-shift	inferred	4. Messages, threads, reactions & mentions	Read the typing map from context/state (channel.state.typing); filter out your own id. No pull method; events keep it live.
`UnreadMessageCount` + `TotalUnreadMessageCountParams` (2 symbols)	`Channel.countUnread` / `StreamChat.getUnreadCount`	shape-shift	inferred	4. Messages, threads, reactions & mentions	Per-channel countUnread()/countUnreadMentions() (methods, not live props); global client.getUnreadCount(). No unread-reply count -> Thread.ownUnreadCount.
`GroupChannelInvite* (2 symbols)`	`ChannelAddMembersForm` + `Channel.inviteMembers`	shape-shift	inferred	5. Membership, roles & moderation	UIKit invite fragment/props -> no prebuilt; build on ChannelAddMembers* + inviteMembers (pass ids); addMembers if auto-accept.
`GroupChannelMembers* (2 symbols)`	`ChannelMemberList` + `Channel.queryMembers`	shape-shift	inferred	5. Membership, roles & moderation	Members screen fragment/props -> no 1:1 prebuilt; build on ChannelMemberList + queryMembers over ChannelState.members.
`Member`	`ChannelMemberResponse`	shape-shift	inferred	5. Membership, roles & moderation	Class (role/state/isMuted/joinedAt) -> plain object keyed in channel.state.members; read channel_role/is_moderator/banned.
`Member.getReadMembers`	`MessageReceiptsTracker.readersForMessage`	shape-shift	inferred	5. Membership, roles & moderation	Per-message readers -> derive from ChannelState.read / MessageReceiptsTracker; not a member method.
`Member.getUnreadMembers`	`MessageReceiptsTracker`	behavioral-diff	inferred	5. Membership, roles & moderation	Members not yet read a message -> derive from ChannelState.read; MessageReceiptsTracker exposes read/delivered sets, no direct getter.
`MemberListOrder`	`MemberSort`	shape-shift	inferred	5. Membership, roles & moderation	Order enum -> MemberSort object for channel.queryMembers (e.g. { created_at: -1 }).
`MembershipFilter`	`MemberFilters`	shape-shift	inferred	5. Membership, roles & moderation	joined/invited/none enum -> MemberFilters object passed to queryMembers (filter on invite / user_id).
